Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
cats,dogs,51,49,0,100,100,0.51,0.0
morning person,night owl,0,100,0,100,100,0.0,0.0
sweet,salty,100,0,0,100,100,1.0,0.0
city life,country life,0,100,0,100,100,0.0,0.0
constitutional right to housing,housing as individual responsibility,56,44,0,100,100,0.56,0.0
constitutional right to a job,market determines employment,0,100,0,100,100,0.0,0.0
affirmative action constitutional,affirmative action unconstitutional,0,100,0,100,100,0.0,0.0
money as speech (Citizens United),limit money in politics,0,100,0,100,100,0.0,0.0
corporate constitutional rights,only individuals have rights,47,53,0,100,100,0.47,0.0
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0
constitutional right to abortion,state right to restrict abortion,43,57,0,100,100,0.43,0.0
religious freedom for businesses,public accommodation over beliefs,0,100,0,100,100,0.0,0.0
right to refuse service based on beliefs,mandatory equal service,50,50,0,100,100,0.5,0.0
freedom of speech includes hate speech,hate speech can be restricted,52,40,8,92,100,0.5652173913043478,0.08
qualified immunity for police,remove qualified immunity,0,100,0,100,100,0.0,0.0
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0
states’ rights on drug policy,federal supremacy on drugs,53,47,0,100,100,0.53,0.0
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0
electoral college protects democracy,electoral college undermines democracy,0,100,0,100,100,0.0,0.0
Supreme Court lifetime appointments,term limits for justices,0,100,0,100,100,0.0,0.0
emergency powers for public health,individual freedom during emergencies,45,55,0,100,100,0.45,0.0
right to die (euthanasia),preserve life at all costs,100,0,0,100,100,1.0,0.0
right to unionize gig workers,gig workers as independent contractors,100,0,0,100,100,1.0,0.0
right to housing,housing as personal responsibility,100,0,0,100,100,1.0,0.0
right to a job,employment not guaranteed by state,0,58,42,58,100,0.0,0.42
universal basic income,income based on work only,49,51,0,100,100,0.49,0.0
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0
privacy over national security,national security over privacy,51,49,0,100,100,0.51,0.0
free public transport,user-funded transport,100,0,0,100,100,1.0,0.0
right to unionize,freedom to avoid unions,52,48,0,100,100,0.52,0.0
right to abortion,right of unborn child,54,46,0,100,100,0.54,0.0
gun ownership as right,gun control for public safety,46,54,0,100,100,0.46,0.0
freedom of religion,freedom from religion in public,0,100,0,100,100,0.0,0.0
free speech protection,regulated speech to prevent harm,47,53,0,100,100,0.47,0.0
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0
voting as a duty,voting as a choice,57,43,0,100,100,0.57,0.0
corporate personhood,only humans have rights,50,50,0,100,100,0.5,0.0
property rights above all,social good can override property,0,100,0,100,100,0.0,0.0
right to die,preservation of life at all costs,100,0,0,100,100,1.0,0.0
