question,sub_opts,source
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. e. terrorism,"['Approve', 'Disapprove']",GAS
"Now thinking about India, do you think relations between India and the U.S. have improved in recent years, or don't you think so?","['Yes, have improved', 'No, have not improved']",GAS
"Turning to China, all things considered, was the decision to hold the 2008 Summer Olympics in China a good or bad decision?","['Good', 'Bad']",GAS
Some people in our country feel that democracy is a Western way of doing things that would not work here - others think that democracy is not just for the West and can work well here. Which comes closer to your opinion?,"['Western way / Cannot work here', 'Can work here']",GAS
"Do you think the Pakistani government provided intelligence to the U.S. that led to the killing of Osama bin Laden, or don't you think so?","['Yes, provided intelligence', 'No, did not provide intelligence']",GAS
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...Foreign policy?,"['Approve', 'Disapprove']",GAS
"Which comes closer to describing your view?...I like foreign music, movies and television OR I dislike foreign music, movies and television","['I like foreign music', 'I dislike foreign music']",GAS
Please tell me whether you agree or disagree with the following statement: People should be willing to pay higher prices in order to address global climate change?,"['Agree', 'Disagree']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with China,"['Approve', 'Disapprove']",GAS
Which of the following comes closer to your view?...I like the pace of modern life. I do not like the pace of modern life.,"['Like pace of modern life', 'Do not like pace of modern life']",GAS
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...corruption,"['Approve', 'Disapprove']",GAS
"In the past 12 months, have you used your cell phone to do any of the following things?...access a social networking site","['Yes', 'No']",GAS
Do you support or oppose using the Mexican army to fight drug traffickers?,"['Support', 'Oppose']",GAS
As a result of the earthquake and tsunami did you or members of your household...Experience electrical blackouts?,"['Yes', 'No']",GAS
"Thinking about immigration, would you support or oppose your country ____? a. taking in refugees from countries where people are fleeing violence and war","['Support', 'Oppose']",GAS
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. c. The U.S. hosting a summit of democratic nations","['Approve', 'Disapprove']",GAS
Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with corruption,"['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? e. terrorism,"['Approve', 'Disapprove']",GAS
Would you favor or oppose further talks between India and Pakistan to try to reduce tensions between the two countries?,"['Favor', 'Oppose']",GAS
Do you approve or disapprove of the way Prime Minister Narendra Modi is handling relations with...China?,"['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas…the economy,"['Approve', 'Disapprove']",GAS
Have you heard about the dispute about the publication of cartoons with the image of the prophet Muhammad?,"['Yes, have heard of it', 'No, have not heard of it']",GAS
Which of these characteristics do you associate with Americans? Do you associate honest with Americans  or not?,"['Yes', 'No']",GAS
Would you favor or oppose your country assuming more responsibility to combat terrorism around the world?,"['Favor', 'Oppose']",GAS
Do you approve or disapprove of the way President Dilma Rousseff is handling each of the following areas...The economy?,"['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with Muslims?...Generous...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To own a cell phone?","['Not important at all', 'Very important']",GAS
Would you support or oppose holding a national referendum on your country’s European Union membership?,"['Support', 'Oppose']",GAS
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? b. The United States,"['Tries to influence the internal affairs of other countries', 'Mostly stays out of the internal affairs of other countries']",GAS
"I’m going to read you a list of things your country might do in dealing with developing countries. As I read each one, please tell me if you would support or oppose it. a. increasing foreign aid to developing countries","['Support', 'Oppose']",GAS
"On a scale of 0 to 10 how satisfied are you with each of the following items, where 0 means you are very dissatisfied and 10 means you are very satisfied?...The safety of your neighborhood","['Very dissatisfied', 'Very satisfied']",GAS
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? d. charismatic,"['Yes', 'No']",GAS
Which of the following phrases comes closer to your point of view?...The U.S. is right to be so concerned about the threat of international terrorism OR the U.S. is over reacting to the threat of international terrorism?,"['The US is right to be so concerned about the threat', 'The US is over reacting to the threat']",GAS
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Iceland","['Favor', 'Oppose']",GAS
Do you believe that groups of Arabs carried out the attacks against the United States on September 11 or don't you believe this?,"['Believe', 'Do not believe']",GAS
"Do you use a computer at your workplace, at school, at home, or anywhere else on at least an occasional basis?","['Yes', 'No']",GAS
Do you approve or disapprove of the way President Nicolas Maduro is handling each of the following areas? g. energy policy,"['Approve', 'Disapprove']",GAS
"Overall, how would you describe the relationship between China and Pakistan? Is it one of cooperation, one of hostility, or neither?","['One of cooperation', 'One of hostility']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Greedy...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
Now I'm going to read you some statements about what President Barack Obama might do in the future. Do you think he will seek international approval before using military force or don't you think so?,"['Will', 'Will not']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Sophisticated...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
Some people have considered not buying American products to protest U.S. policies.  Have you seriously considered not buying American products or haven't you given it serious thought?,"['Thought seriously about', ""Haven't seriously thought about""]",GAS
Japanese Prime Minister Koizumi has visited and paid tribute at the Yasukuni Shrine every year since taking office. Do you support or oppose PM Koizumi's visit to the Yasukuni Shrine?,"['Support', 'Oppose']",GAS
Which of these characteristics do you associate with Muslims?...Violent...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
"Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the calls for political change in countries such as Egypt, Tunisia, Bahrain and Libya","['Approve', 'Disapprove']",GAS
I'm going to read you a list of things the US might do to combat extremist groups in Pakistan. Please tell me whether you would support or oppose...providing financial and humanitarian aid to areas where extremist groups operate.,"['Support', 'Oppose']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Greedy...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
Please tell me whether you think the following describes U.S. president Joe Biden. Do you think of Joe Biden as ____? d. Arrogant,"['Yes', 'No']",GAS
Let's start by thinking about the growing ties between the economies of your country and other countries.  Do you think the trend toward a global economy is a good thing or a bad thing for our country?,"['Good', 'Bad']",GAS
Which of these characteristics do you associate with Americans? Do you associate ____ with Americans or not? e. optimistic,"['Yes', 'No']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. a. the economy,"['Approve', 'Disapprove']",GAS
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. f. U.S. negotiations with North Korean leader Kim Jong-Un about the country's nuclear weapons program","['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way Prime Minister Tayyip Erdogan is handling each of the following areas...personal freedoms,"['Approve', 'Disapprove']",GAS
Overall do you think that India's growing economy is a good thing or a bad thing for our country?,"['Good', 'Bad']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To be able to travel?","['Not important at all', 'Very important']",GAS
"I am going to read you a list of things that might be important for getting ahead in life. On a scale of 0 to 10, in your opinion, how important is it...to know the right people to get ahead in life, where 0 means not important at all and 10 means very important?","['Not important at all', 'Very important']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with Ukraine,"['Approve', 'Disapprove']",GAS
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Ukraine","['Favor', 'Oppose']",GAS
Do you think it's a good thing or a bad thing that people from the Middle East and North Africa come to live and work in this country?,"['Good', 'Bad']",GAS
As I read some specific policies of [American] President George W. Bush tell me if you approve or disapprove of them...Bush's decision to keep U.S. troops in Bosnia and Kosovo,"['Approve', 'Disapprove']",GAS
(Please tell me if you approve or disapprove of the way President Pena Nieto is handling each of the following areas.)...Energy reform,"['Approve', 'Disapprove']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. b. the refugee issue,"['Approve', 'Disapprove']",GAS
Please tell me if you approve or disapprove of the way President Peña Nieto is handling each of the following areas...Dealing with organized crime and drug traffickers,"['Approve', 'Disapprove']",GAS
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. b. The U.S. rejoining the World Health Organization","['Approve', 'Disapprove']",GAS
Do you think the European Union promotes prosperity?,"['Yes', 'No']",GAS
"Now thinking about China, do you think relations between China and the U.S. have improved in recent years, or don't you think so?","['Yes, have improved', 'No, have not improved']",GAS
"Which is more important to you...That Tunisia has a democratic government even if there is some risk of political instability, or that Tunisia has a stable government, even if there is a risk it will not be fully democratic?","['That (survey country) has a democratic government, even if there is some risk of political instability', 'That (survey country) has a stable government, even if there is a risk it will not be fully democratic']",GAS
"Thinking about your country as a whole, do you think this country is now more united or more divided than before the coronavirus outbreak?","['More united', 'More divided']",GAS
Do you think it's a good thing or a bad thing that people from other countries within the European Union come to live and work in this country?,"['Good', 'Bad']",GAS
Which of these characteristics do you associate with the Chinese? Do you associate ____ with the Chinese or not? d. nationalistic,"['Yes, associate', 'No, do not associate']",GAS
How do you see the US led war on terrorism - do you think the US is taking into account the interests of its allies in the fight against terrorism or do you think the US is acting mainly on its own interests?,"['Taking into account the interests of its allies', 'Acting mainly on its own interests']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...climate change.,"['Approve', 'Disapprove']",GAS
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. e. U.S. increasing tariffs or fees on imported goods from other countries","['Approve', 'Disapprove']",GAS
"In your opinion, should Ukraine remain one, united country, or should regions that want to leave be allowed to secede? ","['Remain united', 'Allowed to secede']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...global economic problems.,"['Approve', 'Disapprove']",GAS
"In response to the situation involving Russia and Ukraine, do you support or oppose each of the following actions?...Ukraine becoming a member of NATO","['Support', 'Oppose']",GAS
Please tell me whether you think the following describes U.S. President Donald Trump. Do you think of Donald Trump as ____? e. intolerant,"['Yes', 'No']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Viktor Orbán is handling each of the following areas. g. media,"['Approve', 'Disapprove']",GAS
"Some countries are considering a ban on Muslim women wearing full veils that cover all of the face except the eyes in public places including schools, hospitals, and government offices. Would you approve or disapprove of such a ban in your country?","['Approve', 'Disapprove']",GAS
Which of these characteristics do you associate with Muslims?...Greedy...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Selfish...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
"All things considered, do you think that Muslim nations should be more economically prosperous than they are today, or don't you think so?","['Yes, should be more prosperous', 'No, should not be more prosperous']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the European Union,"['Approve', 'Disapprove']",GAS
Would you favor or oppose allowing the U.S. and its allies to use bases in Turkey for military action in Iraq to end Saddam Hussein's rule?,"['Favor', 'Oppose']",GAS
"Which of these comes closer to your view?...Our traditional way of life is getting lost, OR our traditional way of life remains strong","['Our traditional way of life is getting lost', 'Our traditional way of life remains strong']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To be safe from crime?","['Not important at all', 'Very important']",GAS
Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. the public,"['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
"Do you think the your country government should provide financial assistance to other European Union countries that have major financial problems, or don't you think the government should do this?","['Yes, provide', 'No, do not provide']",GAS
Do you think it's a good thing or a bad thing that people from Eastern Europe come to live and work in this country?,"['Good', 'Bad']",GAS
"Now I'm going to read you a list of countries.  For each one, please tell me whether you would favor or oppose admitting it into the European Union in the next ten years...Turkey","['Favor', 'Oppose']",GAS
Do you think ____ tries to influence the internal affairs of other countries or do you think ____ mostly stays out of the internal affairs of other countries? d. Canada,"['Tries to influence the internal affairs of other countries', 'Mostly stays out of the internal affairs of other countries']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Arrogant...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
Some countries have decided to ban the wearing of 'Burqa' by Muslim women in public places including schools. Do you think this is a good idea or a bad idea?,"['Good idea', 'Bad idea']",GAS
"Some say that people who get ahead these days do so mainly at the expense of other people, others say that people who get ahead these days do so because they have more ability and ambition than other people - which comes closer to your point of view?","[""At other people's expense"", 'Ability and ambition']",GAS
Do you think media organizations should be able to publish information about these types of things OR the government should be able to prevent media organizations from publishing information about these types of things in some circumstances. c. sensitive issues related to national security,"['Media organizations should be able to publish information about these things', 'Government should be able to prevent media organizations from publishing information about these things']",GAS
Do you approve or disapprove of the job the government has done in dealing with the swine flu?,"['Approve', 'Disapprove']",GAS
"For each of the following statements about the missile strikes, please tell me whether you agree or disagree. They are being done without the approval of the Pakistani government.","['Agree', 'Disagree']",GAS
"I’m going to read you a list of things your country might do in dealing with developing countries. As I read each one, please tell me if you would support or oppose it. c. increasing your nationality companies' investment in developing countries","['Support', 'Oppose']",GAS
"Which comes closer to describing your view?...I like Chinese music, movies and television, OR I dislike Chinese music, movies and television.","['I like Chinese music, movies and television', 'I dislike Chinese music, movies and television']",GAS
"Do you support or oppose Sweden becoming a member of NATO, that is, North Atlantic Treaty Organization?","['Support', 'Oppose']",GAS
Some people say the protests for fair elections are the result of efforts by Western powers to destabilize Russia.   Others say the protests are the result of genuine Russian dissatisfaction with the conduct of the elections. Which comes closer to your view?,"['Result of efforts by Western powers', 'Result of Russian dissatisfaction']",GAS
(Now/Thinking about the Chinese people...) Which of these characteristics do you associate with the Chinese people?...Modern...Do you associate this with the Chinese people or not?,"['Yes', 'No']",GAS
Do you think it's a good thing or a bad thing that Mexicans and Latin Americans come to live and work in this country?,"['Good', 'Bad']",GAS
"Which comes closer to describing your view?...I like the pace of modern life, OR I do not like the pace of modern life","['I like the pace of modern life', 'I do not like the pace of modern life']",GAS
"As I read some policies of U.S. President Donald Trump, please tell me if you approve or disapprove of each one. d. Allowing fewer immigrants into the U.S.","['Approve', 'Disapprove']",GAS
"Do you approve or disapprove of the way the European Union is dealing with ____? c. the United Kingdom leaving the EU, also known as Brexit","['Approve', 'Disapprove']",GAS
"To deal with Europe's economic problems, would you favor or oppose giving more decision-making power to the European Union? ","['Favor', 'Oppose']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Nationalistic...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
"Thinking about people in our country who do not have a job, in general would you say this is mostly their own fault or is it mostly because of forces outside their control?","['Mostly their own fault', 'Mostly because of forces outside their control']",GAS
"As I read a pair of phrases, tell me which one better describes George W. Bush...He understands Europe better than other American presidents or He understands less about Europe than other American presidents","['Understands Europe better than most other US presidents', 'Understands Europe less than most other US presidents']",GAS
Which of these characteristics do you associate with Muslims?...Fanatical...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
(Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas?)...Helping the poor,"['Approve', 'Disapprove']",GAS
"For each of the following statements about the drone attacks, please tell me whether you agree or disagree...they are necessary to defend Pakistan from extremist groups .","['Agree', 'Disagree']",GAS
Do you favor or oppose the following? Stoning people who commit adultery.,"['Favor', 'Oppose']",GAS
"In general, would you say your friends or relatives who live in the U.S. have achieved their goals, or have they been disappointed?","['Achieved their goals', 'Been disappointed']",GAS
"Which of the following phrases comes closer to your view?  It's good that Chinese ideas and customs are spreading here, OR it’s bad that Chinese ideas and customs are spreading here.","[""It's good that Chinese ideas and customs are spreading here"", ""It's bad that Chinese ideas and customs are spreading here ""]",GAS
Do you approve or disapprove of the recent military action by France against anti-government rebels in Mali?,"['Approve', 'Disapprove']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the conflict between Israelis and Palestinians.,"['Approve', 'Disapprove']",GAS
"Overall, how much influence do you think Turkey is having on the way things are going in your country? Would you say it is having a great deal of influence, a fair amount, not too much, or no influence at all? (Ask if 'A great deal' or 'A fair amount':) Is this a good thing, a bad thing, or neither good nor bad? ","['Good', 'Bad']",GAS
"And which comes closer to describing your view? The United States promotes democracy wherever it can, OR the United States promotes democracy mostly where it serves its interests?","['The United States promotes democracy wherever it can', 'The United States promotes democracy mostly where it serves its interests']",GAS
"Which side do you identify with more in this struggle, moderate Muslims or Islamic fundamentalists?","['Moderate Muslims', 'Islamic fundamentalists']",GAS
Do you think the government of ____ respects the personal freedoms of its people or don’t you think so? c. France,"['Yes, respects personal freedoms', 'No, does not respect personal freedoms']",GAS
As I read some specific US policies tell me if you approve or disapprove of them...US policies in the Middle East,"['Approve', 'Disapprove']",GAS
Please tell me if you approve or disapprove of the way President Barack Obama is dealing with...the situation in Afghanistan.,"['Approve', 'Disapprove']",GAS
Do you approve or disapprove of the way President Vladimir Putin is handling each of the following areas?...relations with the United States,"['Approve', 'Disapprove']",GAS
Do you think Egypt should maintain its peace treaty with Israel or do you think Egypt should annul its peace treaty with Israel?,"['Maintain treaty', 'Annul treaty']",GAS
"I am going to read you a list of things people do on cell phones, other than making calls. For each, please tell me if this is something you do regularly or not?...Send text messages","['Yes', 'No']",GAS
Is there any area within a kilometer/mile of your home where you would be afraid to walk alone at night?,"['Yes', 'No']",GAS
Do you approve or disapprove of the way President Rodrigo Duterte is handling each of the following areas? d. corruption,"['Approve', 'Disapprove']",GAS
Please tell me whether you think the following statements apply to the United Nations or not. The United Nations… d. Deals effectively with international problems,"['Yes', 'No']",GAS
How do you think people in other countries of the world feel about your country?  Is your country generally liked or disliked?,"['Generally liked', 'Generally disliked']",GAS
"Which of these characteristics do you associate with (the Chinese, the Japanese)?...Honest...Do you associate this with (the Chinese, the Japanese) or not?","['Yes', 'No']",GAS
"And do you ever use social networking sites like Facebook, Twitter (INSERT ) to share your views about...products you use or not? ","['Yes', 'No']",GAS
"What kind of marriage do you think is the more satisfying way of life...where the husband provides for the family and the wife takes care of the house and children, or where both have jobs and both take care of the house and children?","['Husband provides for family', 'Both have jobs - care of house and children']",GAS
"Which of the following phrases comes closer to your view?  It's good that American ideas and customs are spreading here, OR it's bad that American ideas and customs are spreading here.","[""It's good that American ideas and customs are spreading here"", ""It's bad that American ideas and customs are spreading here""]",GAS
Why do you think the US is conducting the war on terrorism? Is...To control Mideast oil...an important reason why the US is doing this or not?,"['Yes', 'No']",GAS
"If Iran were to develop nuclear weapons, do you think they would be likely to...provide nuclear weapons to terrorist organizations, or not?","['Yes, likely', 'No, not likely']",GAS
"Some people talk about politics in terms of left (Communist) and right (Capitalist).  On the ten-point scale on this card, with 1 indicating extreme left and 10 indicating extreme right, where would you place yourself?","['Extreme left (Communist)', 'Extreme right (Capitalist)']",GAS
"If China were to use military force against Taiwan, should the United States use military force to defend Taiwan, or not? ","['Should use force', 'Should not use force']",GAS
"As I read some proposed policies of U.S. President Joe Biden, please tell me if you approve or disapprove of each one. d. The U.S. allowing more refugees into the United States","['Approve', 'Disapprove']",GAS
"Overall, are you satisfied or dissatisfied with the way things are going in our country today?","['Satisfied', 'Dissatisfied']",GAS
"Do you approve or disapprove of the way Prime Minister Narendra Modi is handling each of the following areas? 
f. air pollution","['Approve', 'Disapprove']",GAS
Which comes closer to describing your view?...The US should be promoting democracy around the world OR The US should not be promoting democracy around the world,"['US should promote democracy around the world', 'US should not promote democracy around the world']",GAS
"Did you hear about the death of Tehrik-i-Taliban leader Baitullah Mehsud, who was killed a few months ago by a drone attack?","['Yes, heard about it', 'No, did not hear about it']",GAS
"Some people say the following things are important to them. On a scale of 0 to 10, how important is each thing to you personally, where 0 means not important at all and 10 means very important….To have internet access?","['Not important at all', 'Very important']",GAS
Which of these characteristics do you associate with Muslims?...Tolerant...Do you associate this with Muslims or not?,"['Yes', 'No']",GAS
Do you favor or oppose making the following the law in your country...punishments like whippings and cutting off of hands for crimes like theft and robbery?,"['Favor', 'Oppose']",GAS
"Which of the following two statements best describes you: 'I follow INTERNATIONAL news closely ONLY when something important is happening' OR 'I follow INTERNATIONAL news closely most of the time, whether or not something important is happening'?","['Only when something important is happening', 'Most of the time, whether or not something important is happening']",GAS
Which of these characteristics do you associate with people in Western countries such as the United States and Europe?...Selfish...Do you associate this with people in Western countries or not?,"['Yes', 'No']",GAS
Some people have considered not buying French or German products to protest French and German opposition to American policies. Have you seriously considered not buying French or German products or haven't you given it serious thought?,"['Have seriously considered not buying products', 'Have not given it serious thought']",GAS
"Do you think there is a natural conflict between being a devout Muslim and living in a modern society, or don't you think so?","['Yes, there is conflict', 'No, there is not a conflict']",GAS
"Do you think other European Union governments should provide financial assistance to member countries that have major financial problems, or do you think that other European Union governments should not provide financial assistance? ","['Yes, should provide', 'No, should not provide']",GAS
Which of the following comes closer to what Islamic extremism means to you even if neither is exactly right: Advocating the legal imposition of strict Shari'ah on all Muslims; Using violence to get rid of non-Muslim influences in our country,"[""Advocating legal imposition of strict shari'ah on\xa0all Muslim"", 'Using violence to get rid of non-Muslim influences in countr']",GAS
Please tell me if you approve or disapprove of the way Prime Minister Malcom Turnbull is handling each of the following areas. d. relations with the U.S.,"['Approve', 'Disapprove']",GAS
"In your opinion, are there any serious threats to Islam today?","['Yes', 'No']",GAS
