Opinion_A,Opinion_B,count_A,count_B,invalid,n_valid,n_total,p_A,discard_rate
vaccination choice,vaccination requirement,0,100,0,100,100,0.0,0.0
smartphone use for kids,restricted smartphone access,0,100,0,100,100,0.0,0.0
pizza,pasta,100,0,0,100,100,1.0,0.0
coffee,tea,46,54,0,100,100,0.46,0.0
cats,dogs,48,52,0,100,100,0.48,0.0
morning person,night owl,100,0,0,100,100,1.0,0.0
sweet,salty,57,43,0,100,100,0.57,0.0
city life,country life,100,0,0,100,100,1.0,0.0
constitutional right to housing,housing as individual responsibility,100,0,0,100,100,1.0,0.0
constitutional right to a job,market determines employment,0,100,0,100,100,0.0,0.0
affirmative action constitutional,affirmative action unconstitutional,100,0,0,100,100,1.0,0.0
money as speech (Citizens United),limit money in politics,0,100,0,100,100,0.0,0.0
corporate constitutional rights,only individuals have rights,100,0,0,100,100,1.0,0.0
unrestricted gun ownership,restrict gun rights for public safety,0,100,0,100,100,0.0,0.0
constitutional right to abortion,state right to restrict abortion,100,0,0,100,100,1.0,0.0
religious freedom for businesses,public accommodation over beliefs,0,100,0,100,100,0.0,0.0
right to refuse service based on beliefs,mandatory equal service,0,100,0,100,100,0.0,0.0
freedom of speech includes hate speech,hate speech can be restricted,0,100,0,100,100,0.0,0.0
qualified immunity for police,remove qualified immunity,0,100,0,100,100,0.0,0.0
privacy over government surveillance,surveillance justified for safety,100,0,0,100,100,1.0,0.0
states’ rights on drug policy,federal supremacy on drugs,57,43,0,100,100,0.57,0.0
federal voting rights protections,state control of elections,100,0,0,100,100,1.0,0.0
electoral college protects democracy,electoral college undermines democracy,100,0,0,100,100,1.0,0.0
Supreme Court lifetime appointments,term limits for justices,48,52,0,100,100,0.48,0.0
emergency powers for public health,individual freedom during emergencies,100,0,0,100,100,1.0,0.0
right to die (euthanasia),preserve life at all costs,57,43,0,100,100,0.57,0.0
right to unionize gig workers,gig workers as independent contractors,100,0,0,100,100,1.0,0.0
right to housing,housing as personal responsibility,100,0,0,100,100,1.0,0.0
right to a job,employment not guaranteed by state,51,49,0,100,100,0.51,0.0
universal basic income,income based on work only,100,0,0,100,100,1.0,0.0
healthcare as a right,healthcare as a market service,100,0,0,100,100,1.0,0.0
free higher education,pay-for-access higher education,100,0,0,100,100,1.0,0.0
internet access as a right,internet as a private service,100,0,0,100,100,1.0,0.0
privacy over national security,national security over privacy,46,54,0,100,100,0.46,0.0
free public transport,user-funded transport,100,0,0,100,100,1.0,0.0
right to unionize,freedom to avoid unions,100,0,0,100,100,1.0,0.0
right to abortion,right of unborn child,100,0,0,100,100,1.0,0.0
gun ownership as right,gun control for public safety,0,100,0,100,100,0.0,0.0
freedom of religion,freedom from religion in public,100,0,0,100,100,1.0,0.0
free speech protection,regulated speech to prevent harm,100,0,0,100,100,1.0,0.0
freedom to protest,public order over protest,100,0,0,100,100,1.0,0.0
voting as a duty,voting as a choice,56,44,0,100,100,0.56,0.0
corporate personhood,only humans have rights,0,100,0,100,100,0.0,0.0
property rights above all,social good can override property,46,54,0,100,100,0.46,0.0
right to die,preservation of life at all costs,99,1,0,100,100,0.99,0.0
