Model,variant,Opinion_A,beta,h,metastable,valid_rate,points_ok,echo_share
Llama-3.1-8B-Instruct,stance,affirmative action,3.8635565577794266,0.009767564531731067,True,1.0,10,0.8292079207920792
Llama-3.1-8B-Instruct,stance,animal rights,9.806975403394715,1.0073231321227423,False,0.96,10,0.9787234042553191
Llama-3.1-8B-Instruct,stance,constitutional right to abortion,1.0644652680078623,5.247432111377303,False,0.9590000000000001,10,0.8535115303983228
Llama-3.1-8B-Instruct,stance,free speech absolutism,3.243625944291363,0.02356483525321715,True,1.0,10,0.8297872340425532
Llama-3.1-8B-Instruct,stance,gun ownership as right,2.717758845000559,-0.47857190639212877,False,1.0,10,0.8663366336633663
Llama-3.1-8B-Instruct,stance,internet access as a right,4.322572730133994,0.666261478322714,False,1.0,10,0.8449848024316109
Llama-3.1-8B-Instruct,stance,minimum wage increase,1.838114890368849,0.37597495283002774,False,1.0,10,0.8308026030368764
Llama-3.1-8B-Instruct,stance,multiculturalism,2.8225145740813544,0.9342952556067793,False,1.0,10,0.7888888888888889
Llama-3.1-8B-Instruct,stance,pro-immigration,0.17757173380581123,65.87164429560006,False,1.0,10,0.9783393501805054
Llama-3.1-8B-Instruct,stance,pro-vaccine mandates,0.17757173380581123,65.87164429560006,False,1.0,10,0.9798750867453158
Llama-3.1-8B-Instruct,view,affirmative action,2.0007189530087333,-0.5556952743906041,False,1.0,10,0.808
Llama-3.1-8B-Instruct,view,animal rights,0.1738780267340859,66.83704884032328,False,0.91,9,0.9658584858980702
Llama-3.1-8B-Instruct,view,constitutional right to abortion,13.971536972033183,0.7483062338831546,True,0.665,7,0.7986665079176093
Llama-3.1-8B-Instruct,view,free speech absolutism,3.055757644134446,-0.01728155221499352,True,1.0,10,0.8347826086956521
Llama-3.1-8B-Instruct,view,gun ownership as right,2.7056098919363203,-0.4224668830853862,False,1.0,10,0.8633663366336634
Llama-3.1-8B-Instruct,view,internet access as a right,2.1769925210665004,0.8088252575674693,False,1.0,10,0.665954415954416
Llama-3.1-8B-Instruct,view,minimum wage increase,0.8787824163773316,-0.3947056904860887,False,1.0,10,0.7915335463258786
Llama-3.1-8B-Instruct,view,multiculturalism,2.013920784709817,1.067232587306472,False,1.0,10,0.7959183673469388
Llama-3.1-8B-Instruct,view,pro-immigration,0.1738780267340859,66.83704884032328,False,0.9490000000000001,9,0.9782051282051282
Llama-3.1-8B-Instruct,view,pro-vaccine mandates,0.20764823936937632,55.63417308928154,False,0.792,7,0.9691045557688951
Qwen3-32B,opinion,affirmative action,3.027966834243014,0.42191151723278725,True,1.0,10,0.5714285714285714
Qwen3-32B,opinion,animal rights,4.950929157387773,0.6766840883646414,False,1.0,10,0.5692307692307692
Qwen3-32B,opinion,constitutional right to abortion,2.7274948101523178,0.33180964818012576,True,1.0,10,0.7758620689655172
Qwen3-32B,opinion,free speech absolutism,4.223541515440559,-0.12896275601833165,True,1.0,10,0.26666666666666666
Qwen3-32B,opinion,gun ownership as right,4.852193244064121,-0.04152107649291107,True,1.0,10,0.3333333333333333
Qwen3-32B,opinion,internet access as a right,5.3709642793011145,0.7844354007517224,False,1.0,10,0.6666666666666666
Qwen3-32B,opinion,minimum wage increase,4.912420934595189,0.2588766807477346,True,1.0,10,0.6666666666666666
Qwen3-32B,opinion,multiculturalism,1.6436417076058287,0.19776012547923633,False,1.0,10,0.0
Qwen3-32B,opinion,pro-immigration,9.8903687439266,0.9685470347857507,False,1.0,10,0.6615384615384615
Qwen3-32B,opinion,pro-vaccine mandates,9.065278001527613,1.0619977574717114,False,1.0,10,0.5348837209302325
Qwen3-32B,position,affirmative action,1.3990811309615785,0.8563140870480331,False,1.0,10,0.8489583333333334
Qwen3-32B,position,animal rights,4.141958003696371,1.0059623534516666,False,0.98,10,0.9238921001926782
Qwen3-32B,position,constitutional right to abortion,0.6446652889588147,1.4324575519940546,False,1.0,10,0.9299802761341223
Qwen3-32B,position,free speech absolutism,1.1140035522891383,-0.3809054934264042,False,1.0,10,0.7414330218068536
Qwen3-32B,position,gun ownership as right,2.4206533330844273,-0.5372532761508971,False,1.0,10,0.7649572649572649
Qwen3-32B,position,internet access as a right,5.043379620012752,0.8699677930362995,False,1.0,10,0.8633333333333333
Qwen3-32B,position,minimum wage increase,3.681745900357357,0.2221442919942227,True,1.0,10,0.8823529411764706
Qwen3-32B,position,multiculturalism,0.21836772922006287,2.255192812738502,False,1.0,10,0.6190476190476191
Qwen3-32B,position,pro-immigration,7.804127349370325,1.0426727548396881,False,1.0,10,0.8910891089108911
Qwen3-32B,position,pro-vaccine mandates,60.20079718070053,0.9523285986412233,False,1.0,10,0.895330112721417
Qwen3-32B,stance,affirmative action,3.209012064830071,0.3291752784005756,True,1.0,10,0.8153846153846154
Qwen3-32B,stance,animal rights,5.045844815762703,0.7305730250225329,False,1.0,10,0.8273381294964028
Qwen3-32B,stance,constitutional right to abortion,1.995737066851656,0.8952900083765768,False,1.0,10,0.8525641025641025
Qwen3-32B,stance,free speech absolutism,2.5535747784038283,-0.08410804447053719,True,1.0,10,0.8
Qwen3-32B,stance,gun ownership as right,4.774482702747339,-0.08788300737050164,True,1.0,10,0.72
Qwen3-32B,stance,internet access as a right,5.71494691682242,0.6346709691085117,True,1.0,10,0.8638743455497382
Qwen3-32B,stance,minimum wage increase,4.109274086813616,0.11973912349356099,True,1.0,10,0.8679245283018868
Qwen3-32B,stance,multiculturalism,1.9853632975876436,0.33008251014313705,False,1.0,10,0.6666666666666666
Qwen3-32B,stance,pro-immigration,3.656947666463776,1.0144576752444012,False,1.0,10,0.8027210884353742
Qwen3-32B,stance,pro-vaccine mandates,10.244758813725248,1.0221909145641834,False,1.0,10,0.8165467625899281
Qwen3-32B,view,affirmative action,2.4908826523561465,0.5475314380615957,False,1.0,10,0.7537688442211056
Qwen3-32B,view,animal rights,3.8232351167459595,0.5924040582513987,False,1.0,10,0.7910772578890098
Qwen3-32B,view,constitutional right to abortion,1.419332150582303,0.4647508613066239,False,1.0,10,0.8441860465116279
Qwen3-32B,view,free speech absolutism,2.0112145645785158,-0.11684345777570078,True,1.0,10,0.7016574585635359
Qwen3-32B,view,gun ownership as right,4.832616161744467,-0.08435690946212003,True,1.0,10,0.65625
Qwen3-32B,view,internet access as a right,4.6162018592563845,0.7658370582294205,False,1.0,10,0.7154850746268657
Qwen3-32B,view,minimum wage increase,4.639396240345309,0.185157939450735,True,1.0,10,0.8169491525423729
Qwen3-32B,view,multiculturalism,0.9343549968512335,0.9897881849935835,False,1.0,10,0.4927536231884058
Qwen3-32B,view,pro-immigration,7.358447170789763,0.9128471297921432,False,1.0,10,0.8375
Qwen3-32B,view,pro-vaccine mandates,8.424512268897965,1.0347132444468254,False,0.976,10,0.8524962178517398
gemma-3-27b-it,opinion,affirmative action,4.2832135248898435,0.06522161808174239,True,1.0,10,1.0
gemma-3-27b-it,opinion,animal rights,6.256272250486759,0.9400385015047837,False,1.0,10,1.0
gemma-3-27b-it,opinion,constitutional right to abortion,2.3206720774818095,0.7240318660962909,False,1.0,10,0.9892086330935251
gemma-3-27b-it,opinion,free speech absolutism,4.792986207099769,0.07436437795433821,True,1.0,10,1.0
gemma-3-27b-it,opinion,gun ownership as right,4.185881938036498,-0.038271492297696975,True,1.0,10,1.0
gemma-3-27b-it,opinion,internet access as a right,6.320291995501169,0.6224968059569267,True,1.0,10,0.8561151079136691
gemma-3-27b-it,opinion,minimum wage increase,7.902535709891835,0.19178099786268904,True,1.0,10,0.9642857142857143
gemma-3-27b-it,opinion,multiculturalism,4.81043893675989,0.8980038187310806,False,1.0,10,1.0
gemma-3-27b-it,opinion,pro-immigration,70.23082308318449,0.9527144097348055,True,1.0,10,1.0
gemma-3-27b-it,opinion,pro-vaccine mandates,4.584712396048607,0.8482620469456014,False,1.0,10,1.0
gemma-3-27b-it,position,affirmative action,1.3910772960188336,-0.9202797179117717,False,1.0,10,1.0
gemma-3-27b-it,position,animal rights,0.0010102488128380224,1820.6177105067457,False,1.0,10,1.0
gemma-3-27b-it,position,constitutional right to abortion,-1.5300073154901697,0.10208611577880486,False,1.0,10,1.0
gemma-3-27b-it,position,free speech absolutism,0.3674388252168139,-1.6657492781967678,False,1.0,10,1.0
gemma-3-27b-it,position,gun ownership as right,-1.5721983944503473,0.18296357681426656,False,1.0,10,1.0
gemma-3-27b-it,position,internet access as a right,5.831047365195346,0.9422977770967962,False,1.0,10,0.9902439024390244
gemma-3-27b-it,position,minimum wage increase,0.5557180960249904,-0.5796067781043325,False,1.0,10,1.0
gemma-3-27b-it,position,multiculturalism,3.4283712782725675,1.239906365708398,False,1.0,10,1.0
gemma-3-27b-it,position,pro-immigration,0.0013077352153784637,1991.1429040628357,False,1.0,10,1.0
gemma-3-27b-it,position,pro-vaccine mandates,-4.380916055205853,-0.15526661317970422,False,1.0,10,1.0
gemma-3-27b-it,stance,affirmative action,1.9688989956863736,0.03142953645705706,True,1.0,10,0.9921259842519685
gemma-3-27b-it,stance,animal rights,8.957419949385448,1.0193448293773781,False,1.0,10,1.0
gemma-3-27b-it,stance,constitutional right to abortion,1.8689471495630252,1.0278911310880974,False,1.0,10,0.9989206691851052
gemma-3-27b-it,stance,free speech absolutism,3.1765471496779356,0.23752831349650388,True,1.0,10,1.0
gemma-3-27b-it,stance,gun ownership as right,3.5929088011798265,-0.08912072583262093,True,1.0,10,1.0
gemma-3-27b-it,stance,internet access as a right,7.006617765637417,0.8753995939284336,False,1.0,10,0.9922394678492239
gemma-3-27b-it,stance,minimum wage increase,4.282718458127282,0.17952341396748206,True,1.0,10,1.0
gemma-3-27b-it,stance,multiculturalism,4.03548374141765,1.1559922004787007,False,1.0,10,1.0
gemma-3-27b-it,stance,pro-immigration,0.9337784129500122,43.27755839489337,False,1.0,10,1.0
gemma-3-27b-it,stance,pro-vaccine mandates,0.004882798543418143,816.6190768646134,False,1.0,10,1.0
gemma-3-27b-it,view,affirmative action,3.8093269320258183,-0.03120800431514809,True,1.0,10,1.0
gemma-3-27b-it,view,animal rights,6.050044218222536,0.8353794912382515,False,1.0,10,0.9987908101571947
gemma-3-27b-it,view,constitutional right to abortion,2.5532933501039246,0.6151190592531837,False,1.0,10,0.9969493593654668
gemma-3-27b-it,view,free speech absolutism,3.4543310765996513,0.15953734897769525,True,1.0,10,0.9811320754716981
gemma-3-27b-it,view,gun ownership as right,4.898923068511161,-0.002042510208095014,True,1.0,10,0.9772727272727273
gemma-3-27b-it,view,internet access as a right,7.424370586264013,0.7979664099476045,False,1.0,10,0.9587750294464076
gemma-3-27b-it,view,minimum wage increase,5.4274608200968455,0.041027721674906766,True,1.0,10,1.0
gemma-3-27b-it,view,multiculturalism,8.028887740951834,1.0313366559131494,False,1.0,10,1.0
gemma-3-27b-it,view,pro-immigration,0.4423812997576692,28.558310812187393,False,1.0,10,1.0
gemma-3-27b-it,view,pro-vaccine mandates,0.005471917586293652,814.9821209710292,False,1.0,10,1.0
