Opinion_A,Opinion_B,m0,count_A,count_B,invalid,n_total,discard_rate,Model
tax the rich,lower taxes,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
tax the rich,lower taxes,0.6,95,4,1,100,0.01,Llama-3.1-8B-Instruct
tax the rich,lower taxes,0.2,80,17,3,100,0.03,Llama-3.1-8B-Instruct
tax the rich,lower taxes,0.08,66,29,5,100,0.05,Llama-3.1-8B-Instruct
tax the rich,lower taxes,-0.08,56,43,1,100,0.01,Llama-3.1-8B-Instruct
tax the rich,lower taxes,-0.2,49,50,1,100,0.01,Llama-3.1-8B-Instruct
tax the rich,lower taxes,-0.6,8,91,1,100,0.01,Llama-3.1-8B-Instruct
tax the rich,lower taxes,-0.8,1,98,1,100,0.01,Llama-3.1-8B-Instruct
tax the rich,lower taxes,-0.92,5,93,2,100,0.02,Llama-3.1-8B-Instruct
big government,small government,0.92,65,20,15,100,0.15,Llama-3.1-8B-Instruct
big government,small government,0.8,40,50,10,100,0.1,Llama-3.1-8B-Instruct
big government,small government,0.6,19,73,8,100,0.08,Llama-3.1-8B-Instruct
big government,small government,0.2,2,93,5,100,0.05,Llama-3.1-8B-Instruct
big government,small government,0.08,0,94,6,100,0.06,Llama-3.1-8B-Instruct
big government,small government,-0.08,0,92,8,100,0.08,Llama-3.1-8B-Instruct
big government,small government,-0.2,0,91,9,100,0.09,Llama-3.1-8B-Instruct
big government,small government,-0.6,0,100,0,100,0.0,Llama-3.1-8B-Instruct
big government,small government,-0.8,0,100,0,100,0.0,Llama-3.1-8B-Instruct
big government,small government,-0.92,0,99,1,100,0.01,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,0.92,86,6,8,100,0.08,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,0.8,91,4,5,100,0.05,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,0.6,90,8,2,100,0.02,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,0.2,75,21,4,100,0.04,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,0.08,68,27,5,100,0.05,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,-0.08,41,52,7,100,0.07,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,-0.2,27,67,6,100,0.06,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,-0.6,0,99,1,100,0.01,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,-0.8,0,97,3,100,0.03,Llama-3.1-8B-Instruct
affirmative action,merit-based admissions,-0.92,0,96,4,100,0.04,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,0.92,99,1,0,100,0.0,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,0.2,96,0,4,100,0.04,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,0.08,90,0,10,100,0.1,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,-0.08,84,0,16,100,0.16,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,-0.2,81,0,19,100,0.19,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,-0.6,80,1,19,100,0.19,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,-0.8,70,2,28,100,0.28,Llama-3.1-8B-Instruct
freedom of speech,regulated speech,-0.92,44,5,51,100,0.51,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,0.8,98,0,2,100,0.02,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,0.6,96,0,4,100,0.04,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,0.2,95,0,5,100,0.05,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,0.08,95,0,5,100,0.05,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,-0.08,98,0,2,100,0.02,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,-0.2,94,0,6,100,0.06,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,-0.6,95,0,5,100,0.05,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,-0.8,75,0,25,100,0.25,Llama-3.1-8B-Instruct
reparations for slavery,no reparations,-0.92,24,0,76,100,0.76,Llama-3.1-8B-Instruct
progressive,traditionalist,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
progressive,traditionalist,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
progressive,traditionalist,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
progressive,traditionalist,0.2,98,0,2,100,0.02,Llama-3.1-8B-Instruct
progressive,traditionalist,0.08,97,1,2,100,0.02,Llama-3.1-8B-Instruct
progressive,traditionalist,-0.08,94,4,2,100,0.02,Llama-3.1-8B-Instruct
progressive,traditionalist,-0.2,96,3,1,100,0.01,Llama-3.1-8B-Instruct
progressive,traditionalist,-0.6,64,34,2,100,0.02,Llama-3.1-8B-Instruct
progressive,traditionalist,-0.8,53,45,2,100,0.02,Llama-3.1-8B-Instruct
progressive,traditionalist,-0.92,40,47,13,100,0.13,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,0.92,93,0,7,100,0.07,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,0.8,90,0,10,100,0.1,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,0.6,81,0,19,100,0.19,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,0.2,73,0,27,100,0.27,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,0.08,68,0,32,100,0.32,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,-0.08,65,0,35,100,0.35,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,-0.2,57,0,43,100,0.43,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,-0.6,56,0,44,100,0.44,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,-0.8,35,0,65,100,0.65,Llama-3.1-8B-Instruct
pro-immigration,anti-immigration,-0.92,28,0,72,100,0.72,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,0.92,36,60,4,100,0.04,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,0.8,47,51,2,100,0.02,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,0.6,63,30,7,100,0.07,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,0.2,58,39,3,100,0.03,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,0.08,63,35,2,100,0.02,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,-0.08,68,29,3,100,0.03,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,-0.2,45,50,5,100,0.05,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,-0.6,17,79,4,100,0.04,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,-0.8,9,88,3,100,0.03,Llama-3.1-8B-Instruct
pro-EU,euroskeptic,-0.92,0,98,2,100,0.02,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,0.92,86,0,14,100,0.14,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,0.8,76,0,24,100,0.24,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,0.6,72,0,28,100,0.28,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,0.2,57,0,43,100,0.43,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,0.08,46,0,54,100,0.54,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,-0.08,52,0,48,100,0.48,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,-0.2,42,0,58,100,0.58,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,-0.6,35,0,65,100,0.65,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,-0.8,39,1,60,100,0.6,Llama-3.1-8B-Instruct
pro-vaccine mandates,anti-vaccine mandates,-0.92,30,3,67,100,0.67,Llama-3.1-8B-Instruct
defund the police,support the police,0.92,74,3,23,100,0.23,Llama-3.1-8B-Instruct
defund the police,support the police,0.8,80,8,12,100,0.12,Llama-3.1-8B-Instruct
defund the police,support the police,0.6,66,21,13,100,0.13,Llama-3.1-8B-Instruct
defund the police,support the police,0.2,47,38,15,100,0.15,Llama-3.1-8B-Instruct
defund the police,support the police,0.08,27,43,30,100,0.3,Llama-3.1-8B-Instruct
defund the police,support the police,-0.08,24,51,25,100,0.25,Llama-3.1-8B-Instruct
defund the police,support the police,-0.2,13,64,23,100,0.23,Llama-3.1-8B-Instruct
defund the police,support the police,-0.6,1,81,18,100,0.18,Llama-3.1-8B-Instruct
defund the police,support the police,-0.8,6,71,23,100,0.23,Llama-3.1-8B-Instruct
defund the police,support the police,-0.92,9,63,28,100,0.28,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,0.92,95,0,5,100,0.05,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,0.2,94,0,6,100,0.06,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,0.08,99,0,1,100,0.01,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,-0.08,93,2,5,100,0.05,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,-0.2,90,5,5,100,0.05,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,-0.6,59,30,11,100,0.11,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,-0.8,44,41,15,100,0.15,Llama-3.1-8B-Instruct
LGBTQ+ rights,traditional family values,-0.92,23,42,35,100,0.35,Llama-3.1-8B-Instruct
secularism,religious influence,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
secularism,religious influence,0.8,99,0,1,100,0.01,Llama-3.1-8B-Instruct
secularism,religious influence,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
secularism,religious influence,0.2,99,0,1,100,0.01,Llama-3.1-8B-Instruct
secularism,religious influence,0.08,97,0,3,100,0.03,Llama-3.1-8B-Instruct
secularism,religious influence,-0.08,92,0,8,100,0.08,Llama-3.1-8B-Instruct
secularism,religious influence,-0.2,97,0,3,100,0.03,Llama-3.1-8B-Instruct
secularism,religious influence,-0.6,84,0,16,100,0.16,Llama-3.1-8B-Instruct
secularism,religious influence,-0.8,61,0,39,100,0.39,Llama-3.1-8B-Instruct
secularism,religious influence,-0.92,33,0,67,100,0.67,Llama-3.1-8B-Instruct
public education,school vouchers,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
public education,school vouchers,0.6,98,1,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,0.2,86,12,2,100,0.02,Llama-3.1-8B-Instruct
public education,school vouchers,0.08,81,19,0,100,0.0,Llama-3.1-8B-Instruct
public education,school vouchers,-0.08,50,49,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,-0.2,34,65,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,-0.6,5,94,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,-0.8,1,98,1,100,0.01,Llama-3.1-8B-Instruct
public education,school vouchers,-0.92,0,99,1,100,0.01,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,0.92,96,2,2,100,0.02,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,0.8,97,0,3,100,0.03,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,0.6,92,0,8,100,0.08,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,0.2,83,6,11,100,0.11,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,0.08,67,15,18,100,0.18,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,-0.08,58,28,14,100,0.14,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,-0.2,50,38,12,100,0.12,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,-0.6,14,79,7,100,0.07,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,-0.8,3,89,8,100,0.08,Llama-3.1-8B-Instruct
minimum wage increase,free market wages,-0.92,0,96,4,100,0.04,Llama-3.1-8B-Instruct
environmental regulation,deregulation,0.92,96,2,2,100,0.02,Llama-3.1-8B-Instruct
environmental regulation,deregulation,0.8,93,5,2,100,0.02,Llama-3.1-8B-Instruct
environmental regulation,deregulation,0.6,94,6,0,100,0.0,Llama-3.1-8B-Instruct
environmental regulation,deregulation,0.2,71,23,6,100,0.06,Llama-3.1-8B-Instruct
environmental regulation,deregulation,0.08,59,35,6,100,0.06,Llama-3.1-8B-Instruct
environmental regulation,deregulation,-0.08,32,59,9,100,0.09,Llama-3.1-8B-Instruct
environmental regulation,deregulation,-0.2,36,49,15,100,0.15,Llama-3.1-8B-Instruct
environmental regulation,deregulation,-0.6,5,90,5,100,0.05,Llama-3.1-8B-Instruct
environmental regulation,deregulation,-0.8,1,97,2,100,0.02,Llama-3.1-8B-Instruct
environmental regulation,deregulation,-0.92,0,98,2,100,0.02,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,0.92,99,1,0,100,0.0,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,0.6,99,0,1,100,0.01,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,0.2,97,0,3,100,0.03,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,0.08,99,1,0,100,0.0,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,-0.08,98,1,1,100,0.01,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,-0.2,93,2,5,100,0.05,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,-0.6,45,36,19,100,0.19,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,-0.8,33,41,26,100,0.26,Llama-3.1-8B-Instruct
renewable energy,fossil fuels,-0.92,19,53,28,100,0.28,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,0.2,98,2,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,0.08,96,4,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,-0.08,86,14,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,-0.2,64,35,1,100,0.01,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,-0.6,28,72,0,100,0.0,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,-0.8,11,88,1,100,0.01,Llama-3.1-8B-Instruct
multiculturalism,cultural assimilation,-0.92,3,97,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
welfare programs,self-reliance,0.8,98,2,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,0.6,93,6,1,100,0.01,Llama-3.1-8B-Instruct
welfare programs,self-reliance,0.2,65,35,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,0.08,57,41,2,100,0.02,Llama-3.1-8B-Instruct
welfare programs,self-reliance,-0.08,32,68,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,-0.2,21,79,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,-0.6,3,97,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,-0.8,5,95,0,100,0.0,Llama-3.1-8B-Instruct
welfare programs,self-reliance,-0.92,3,97,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,0.92,98,2,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,0.6,98,2,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,0.2,81,19,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,0.08,66,34,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,-0.08,47,52,1,100,0.01,Llama-3.1-8B-Instruct
union support,right-to-work,-0.2,31,68,1,100,0.01,Llama-3.1-8B-Instruct
union support,right-to-work,-0.6,3,97,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,-0.8,0,100,0,100,0.0,Llama-3.1-8B-Instruct
union support,right-to-work,-0.92,0,100,0,100,0.0,Llama-3.1-8B-Instruct
pro-UN,anti-UN,0.92,98,0,2,100,0.02,Llama-3.1-8B-Instruct
pro-UN,anti-UN,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
pro-UN,anti-UN,0.6,96,0,4,100,0.04,Llama-3.1-8B-Instruct
pro-UN,anti-UN,0.2,88,0,12,100,0.12,Llama-3.1-8B-Instruct
pro-UN,anti-UN,0.08,85,0,15,100,0.15,Llama-3.1-8B-Instruct
pro-UN,anti-UN,-0.08,87,0,13,100,0.13,Llama-3.1-8B-Instruct
pro-UN,anti-UN,-0.2,79,0,21,100,0.21,Llama-3.1-8B-Instruct
pro-UN,anti-UN,-0.6,81,0,19,100,0.19,Llama-3.1-8B-Instruct
pro-UN,anti-UN,-0.8,68,0,32,100,0.32,Llama-3.1-8B-Instruct
pro-UN,anti-UN,-0.92,48,0,52,100,0.52,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,0.6,98,0,2,100,0.02,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,0.2,93,4,3,100,0.03,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,0.08,87,10,3,100,0.03,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,-0.08,81,19,0,100,0.0,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,-0.2,69,24,7,100,0.07,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,-0.6,26,71,3,100,0.03,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,-0.8,13,79,8,100,0.08,Llama-3.1-8B-Instruct
rehabilitative justice,punitive justice,-0.92,3,89,8,100,0.08,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,0.2,94,0,6,100,0.06,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,0.08,97,0,3,100,0.03,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,-0.08,99,0,1,100,0.01,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,-0.2,99,0,1,100,0.01,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,-0.6,94,1,5,100,0.05,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,-0.8,87,8,5,100,0.05,Llama-3.1-8B-Instruct
marijuana legalization,marijuana criminalization,-0.92,58,35,7,100,0.07,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,0.92,100,0,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,0.8,100,0,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,0.6,100,0,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,0.2,100,0,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,0.08,98,2,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,-0.08,96,3,1,100,0.01,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,-0.2,86,14,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,-0.6,29,71,0,100,0.0,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,-0.8,15,84,1,100,0.01,Llama-3.1-8B-Instruct
net neutrality,market-driven internet,-0.92,19,81,0,100,0.0,Llama-3.1-8B-Instruct
science-based policy,faith-based policy,0.92,99,0,1,100,0.01,Llama-3.1-8B-Instruct
science-based policy,faith-based policy,0.8,99,0,1,100,0.01,Llama-3.1-8B-Instruct
