Model,Opinion_A,m0,beta_far,observed,predicted,raw_residual,signed_residual,se,n
Llama-3.1-8B-Instruct,affirmative action,-0.08,2.288163140796046,0.47,0.41153070870490366,0.058469291295096315,-0.058469291295096315,0.04990991885387112,100.0
Llama-3.1-8B-Instruct,animal rights,0.08,3.4525478725456193,1.0,0.9985508462556791,0.0014491537443208635,0.0014491537443208635,0.001,100.0
Llama-3.1-8B-Instruct,animal rights,-0.08,3.4525478725456193,1.0,0.9954381993279434,0.004561800672056582,-0.004561800672056582,0.001,100.0
Llama-3.1-8B-Instruct,anti-censorship,0.08,1.4010251814568069,0.58,0.6940003749099848,-0.11400037490998483,-0.11400037490998483,0.04935585071701227,100.0
Llama-3.1-8B-Instruct,anti-censorship,-0.08,1.4010251814568069,0.4,0.591580657523099,-0.19158065752309894,0.19158065752309894,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,big government,0.08,1.9058750522908467,0.0,0.021329249119011063,-0.021329249119011063,-0.021329249119011063,0.001,100.0
Llama-3.1-8B-Instruct,big government,-0.08,1.9058750522908467,0.0,0.011660061646891751,-0.011660061646891751,0.011660061646891751,0.001,100.0
Llama-3.1-8B-Instruct,capitalism,0.08,2.979742408262484,0.72,0.8402710533525581,-0.12027105335255817,-0.12027105335255817,0.0448998886412873,100.0
Llama-3.1-8B-Instruct,capitalism,-0.08,2.979742408262484,0.54,0.6696131144518979,-0.12961311445189783,0.12961311445189783,0.04983974317750845,100.0
Llama-3.1-8B-Instruct,cats,0.08,4.563558599967791,0.83,0.8454603437313545,-0.01546034373135452,-0.01546034373135452,0.037563279941985904,100.0
Llama-3.1-8B-Instruct,cats,-0.08,4.563558599967791,0.64,0.5595784922936036,0.08042150770639644,-0.08042150770639644,0.048,100.0
Llama-3.1-8B-Instruct,city life,0.08,3.058714559549372,0.56,0.8243350094283401,-0.2643350094283401,-0.2643350094283401,0.04963869458396342,100.0
Llama-3.1-8B-Instruct,city life,-0.08,3.058714559549372,0.48,0.6380596146078855,-0.15805961460788553,0.15805961460788553,0.049959983987187186,100.0
Llama-3.1-8B-Instruct,climate change believer,0.08,2.899674534140002,1.0,0.9999739327050172,2.6067294982778932e-05,2.6067294982778932e-05,0.001,100.0
Llama-3.1-8B-Instruct,climate change believer,-0.08,2.899674534140002,1.0,0.9997812143474887,0.00021878565251132187,-0.00021878565251132187,0.001,100.0
Llama-3.1-8B-Instruct,coffee,0.08,3.00646041842964,0.58,0.48259274970475585,0.09740725029524411,0.09740725029524411,0.04935585071701227,100.0
Llama-3.1-8B-Instruct,coffee,-0.08,3.00646041842964,0.41,0.26272749886539415,0.14727250113460583,-0.14727250113460583,0.04918333050943175,100.0
Llama-3.1-8B-Instruct,college for most,0.08,4.173163906861725,0.97,0.9954323162664271,-0.02543231626642717,-0.02543231626642717,0.017058722109231986,100.0
Llama-3.1-8B-Instruct,college for most,-0.08,4.173163906861725,0.88,0.9825845497839281,-0.10258454978392806,0.10258454978392806,0.03249615361854384,100.0
Llama-3.1-8B-Instruct,constitutional right to a job,0.08,1.5744755883264654,0.65,0.5743124056544417,0.07568759434555827,0.07568759434555827,0.047696960070847276,100.0
Llama-3.1-8B-Instruct,constitutional right to a job,-0.08,1.5744755883264654,0.44,0.44908717921675434,-0.009087179216754337,0.009087179216754337,0.04963869458396343,100.0
Llama-3.1-8B-Instruct,constitutional right to abortion,0.08,3.311313096761106,0.95,0.9613434928451301,-0.011343492845130143,-0.011343492845130143,0.021794494717703377,100.0
Llama-3.1-8B-Instruct,constitutional right to abortion,-0.08,3.311313096761106,0.9,0.8958910245691984,0.004108975430801576,-0.004108975430801576,0.03,100.0
Llama-3.1-8B-Instruct,constitutional right to housing,0.08,4.6590751621612405,0.83,0.9460490493190168,-0.11604904931901683,-0.11604904931901683,0.037563279941985904,100.0
Llama-3.1-8B-Instruct,constitutional right to housing,-0.08,4.6590751621612405,0.69,0.798131234164307,-0.10813123416430703,0.10813123416430703,0.04624932431938871,100.0
Llama-3.1-8B-Instruct,corporate constitutional rights,0.08,1.866835252059835,0.57,0.6624764564219203,-0.09247645642192037,-0.09247645642192037,0.04950757517794625,100.0
Llama-3.1-8B-Instruct,corporate constitutional rights,-0.08,1.866835252059835,0.61,0.519242774383342,0.090757225616658,-0.090757225616658,0.048774993593028795,100.0
Llama-3.1-8B-Instruct,corporate personhood,0.08,0.6391342352965145,0.47,0.6816124655413842,-0.21161246554138424,-0.21161246554138424,0.04990991885387112,100.0
Llama-3.1-8B-Instruct,corporate personhood,-0.08,0.6391342352965145,0.38,0.6356747496241112,-0.2556747496241112,0.2556747496241112,0.048538644398046386,100.0
Llama-3.1-8B-Instruct,corporate regulation,0.08,1.936581783990933,0.6,0.5691473006293839,0.030852699370616077,0.030852699370616077,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,corporate regulation,-0.08,1.936581783990933,0.35,0.415486641906348,-0.06548664190634801,0.06548664190634801,0.047696960070847276,100.0
Llama-3.1-8B-Instruct,defund the police,0.08,4.292471658332858,0.4,0.26242012035905377,0.13757987964094626,0.13757987964094626,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,defund the police,-0.08,4.292471658332858,0.23,0.0826998938557932,0.1473001061442068,-0.1473001061442068,0.042083250825001625,100.0
Llama-3.1-8B-Instruct,digital privacy,0.08,3.166284747739245,1.0,0.9999133291880247,8.667081197533122e-05,8.667081197533122e-05,0.001,100.0
Llama-3.1-8B-Instruct,digital privacy,-0.08,3.166284747739245,0.98,0.9995859963464315,-0.019585996346431545,0.019585996346431545,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,drag shows for kids,0.08,1.6276400992491968,0.93,0.8628088004949751,0.06719119950502495,0.06719119950502495,0.02551470164434614,100.0
Llama-3.1-8B-Instruct,drag shows for kids,-0.08,1.6276400992491968,0.85,0.7888849490565708,0.06111505094342917,-0.06111505094342917,0.035707142142714254,100.0
Llama-3.1-8B-Instruct,electoral college protects democracy,0.08,2.8698942562513863,0.99,0.9889344335946143,0.0010655664053856873,0.0010655664053856873,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,electoral college protects democracy,-0.08,2.8698942562513863,0.99,0.9728751820819508,0.017124817918049207,-0.017124817918049207,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,emergency powers for public health,0.08,3.0121767923537908,0.6,0.47843926046342033,0.12156073953657964,0.12156073953657964,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,emergency powers for public health,-0.08,3.0121767923537908,0.43,0.2591649859778486,0.1708350140221514,-0.1708350140221514,0.04950757517794625,100.0
Llama-3.1-8B-Instruct,environmental regulation,0.08,1.6686078444961983,0.67,0.594064678351744,0.075935321648256,0.075935321648256,0.04702127178203499,100.0
Llama-3.1-8B-Instruct,environmental regulation,-0.08,1.6686078444961983,0.44,0.4617877069259146,-0.021787706925914585,0.021787706925914585,0.04963869458396343,100.0
Llama-3.1-8B-Instruct,federal voting rights protections,0.08,2.2509230453247993,0.99,0.9873712023365684,0.0026287976634316035,0.0026287976634316035,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,federal voting rights protections,-0.08,2.2509230453247993,0.97,0.9742884435450274,-0.004288443545027443,0.004288443545027443,0.017058722109231986,100.0
Llama-3.1-8B-Instruct,free higher education,0.08,2.2559087343472415,1.0,0.9863876789301105,0.013612321069889521,0.013612321069889521,0.001,100.0
Llama-3.1-8B-Instruct,free higher education,-0.08,2.2559087343472415,0.97,0.9722793703027235,-0.0022793703027235157,0.0022793703027235157,0.017058722109231986,100.0
Llama-3.1-8B-Instruct,free public transport,0.08,3.2157147408233153,0.94,0.9501704644483144,-0.010170464448314487,-0.010170464448314487,0.023748684174075843,100.0
Llama-3.1-8B-Instruct,free public transport,-0.08,3.2157147408233153,0.76,0.87189175377942,-0.11189175377941996,0.11189175377941996,0.04270831300812525,100.0
Llama-3.1-8B-Instruct,free speech absolutism,0.08,3.2902312267525176,0.63,0.433711117187802,0.19628888281219803,0.19628888281219803,0.048280430818293245,100.0
Llama-3.1-8B-Instruct,free speech absolutism,-0.08,3.2902312267525176,0.38,0.21085267100861121,0.1691473289913888,-0.1691473289913888,0.048538644398046386,100.0
Llama-3.1-8B-Instruct,free speech protection,0.08,2.9407742209423677,0.94,0.9369496716273235,0.003050328372676492,0.003050328372676492,0.023748684174075843,100.0
Llama-3.1-8B-Instruct,free speech protection,-0.08,2.9407742209423677,0.84,0.853027301936299,-0.013027301936299085,0.013027301936299085,0.036660605559646724,100.0
Llama-3.1-8B-Instruct,freedom of religion,0.08,3.596206782326263,0.99,0.9722914650505774,0.017708534949422594,0.017708534949422594,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,freedom of religion,-0.08,3.596206782326263,0.87,0.9171879985324429,-0.04718799853244293,0.04718799853244293,0.03363034344160047,100.0
Llama-3.1-8B-Instruct,freedom of speech includes hate speech,0.08,1.6620122745573815,0.29,0.06530080870085923,0.22469919129914073,0.22469919129914073,0.045376205218153706,100.0
Llama-3.1-8B-Instruct,freedom of speech includes hate speech,-0.08,1.6620122745573815,0.26,0.03938961497305536,0.22061038502694463,-0.22061038502694463,0.04386342439892262,100.0
Llama-3.1-8B-Instruct,freedom of speech,0.08,2.8150409699587517,0.99,0.998186561240594,-0.008186561240594026,-0.008186561240594026,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,freedom of speech,-0.08,2.8150409699587517,0.98,0.9954030078053828,-0.01540300780538284,0.01540300780538284,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,freedom to homeschool,0.08,3.396166682544156,0.88,0.9295925597662564,-0.04959255976625643,-0.04959255976625643,0.03249615361854384,100.0
Llama-3.1-8B-Instruct,freedom to homeschool,-0.08,3.396166682544156,0.74,0.8165003405418545,-0.0765003405418545,0.0765003405418545,0.04386342439892262,100.0
Llama-3.1-8B-Instruct,freedom to protest,0.08,5.993177349650522,1.0,1.000011239930204,-1.123993020391012e-05,-1.123993020391012e-05,0.001,100.0
Llama-3.1-8B-Instruct,freedom to protest,-0.08,5.993177349650522,1.0,0.9999958234827186,4.176517281351266e-06,-4.176517281351266e-06,0.001,100.0
Llama-3.1-8B-Instruct,gender self-identification,0.08,1.9588072553376101,0.99,0.9887924032702552,0.0012075967297447976,0.0012075967297447976,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,gender self-identification,-0.08,1.9588072553376101,0.96,0.9791427398799323,-0.019142739879932313,0.019142739879932313,0.019595917942265433,100.0
Llama-3.1-8B-Instruct,globalism,0.08,2.530118475534813,0.96,0.972594784020413,-0.01259478402041303,-0.01259478402041303,0.019595917942265433,100.0
Llama-3.1-8B-Instruct,globalism,-0.08,2.530118475534813,0.89,0.9403429509735003,-0.05034295097350028,0.05034295097350028,0.031288975694324025,100.0
Llama-3.1-8B-Instruct,gun control,0.08,2.597789552535819,0.7,0.7132881109084211,-0.013288110908421191,-0.013288110908421191,0.045825756949558406,100.0
Llama-3.1-8B-Instruct,gun control,-0.08,2.597789552535819,0.55,0.5200400852136751,0.02995991478632498,-0.02995991478632498,0.049749371855330994,100.0
Llama-3.1-8B-Instruct,gun ownership as right,0.08,2.2138702628635176,0.35,0.2816923496961574,0.06830765030384256,0.06830765030384256,0.047696960070847276,100.0
Llama-3.1-8B-Instruct,gun ownership as right,-0.08,2.2138702628635176,0.19,0.161883799042581,0.028116200957419013,-0.028116200957419013,0.039230090491866064,100.0
Llama-3.1-8B-Instruct,healthcare as a right,0.08,5.694100047751451,1.0,1.0000095269305127,-9.526930512704368e-06,-9.526930512704368e-06,0.001,100.0
Llama-3.1-8B-Instruct,healthcare as a right,-0.08,5.694100047751451,1.0,0.9995406948204877,0.00045930517951231487,-0.00045930517951231487,0.001,100.0
Llama-3.1-8B-Instruct,internet access as a right,0.08,3.6513412493992137,0.98,0.9842503699690408,-0.004250369969040824,-0.004250369969040824,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,internet access as a right,-0.08,3.6513412493992137,0.98,0.9508435173717411,0.029156482628258873,-0.029156482628258873,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,legal sex work,0.08,61.606629383238,1.0,0.999983193908292,1.6806091707954884e-05,1.6806091707954884e-05,0.001,100.0
Llama-3.1-8B-Instruct,legal sex work,-0.08,61.606629383238,1.0,0.999983193908292,1.6806091707954884e-05,-1.6806091707954884e-05,0.001,100.0
Llama-3.1-8B-Instruct,liberal,0.08,1.4603532471257041,1.0,0.9989845111957449,0.0010154888042550603,0.0010154888042550603,0.001,100.0
Llama-3.1-8B-Instruct,liberal,-0.08,1.4603532471257041,0.99,0.9983211955871465,-0.008321195587146502,0.008321195587146502,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,mandatory military service,0.08,5.309422365803331,0.14,0.06561530304807274,0.07438469695192727,0.07438469695192727,0.03469870314579494,100.0
Llama-3.1-8B-Instruct,mandatory military service,-0.08,5.309422365803331,0.07,0.012758004988240933,0.05724199501175907,-0.05724199501175907,0.02551470164434615,100.0
Llama-3.1-8B-Instruct,mandatory voting,0.08,2.442093897672996,0.6,0.8334168683903964,-0.23341686839039644,-0.23341686839039644,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,mandatory voting,-0.08,2.442093897672996,0.54,0.6959999883832194,-0.15599998838321938,0.15599998838321938,0.04983974317750845,100.0
Llama-3.1-8B-Instruct,marijuana legalization,0.08,8.059343673590146,1.0,1.0000999850312906,-9.998503129060587e-05,-9.998503129060587e-05,0.001,100.0
Llama-3.1-8B-Instruct,marijuana legalization,-0.08,8.059343673590146,1.0,1.0000998026553338,-9.980265533382493e-05,9.980265533382493e-05,0.001,100.0
Llama-3.1-8B-Instruct,mask mandates,0.08,0.4414254223723405,0.72,0.8079075383544967,-0.08790753835449672,-0.08790753835449672,0.0448998886412873,100.0
Llama-3.1-8B-Instruct,mask mandates,-0.08,0.4414254223723405,0.6,0.7850372589233201,-0.18503725892332012,0.18503725892332012,0.04898979485566356,100.0
Llama-3.1-8B-Instruct,meat consumption moral,0.08,9.535447401046069,1.0,1.0000999979593819,-9.999795938187006e-05,-9.999795938187006e-05,0.001,100.0
Llama-3.1-8B-Instruct,meat consumption moral,-0.08,9.535447401046069,1.0,1.000099956853732,-9.995685373209717e-05,9.995685373209717e-05,0.001,100.0
Llama-3.1-8B-Instruct,minimum wage increase,0.08,3.033982907259462,0.8,0.9354959448002363,-0.1354959448002363,-0.1354959448002363,0.04,100.0
Llama-3.1-8B-Instruct,minimum wage increase,-0.08,3.033982907259462,0.8,0.8458720527195378,-0.04587205271953776,0.04587205271953776,0.04,100.0
Llama-3.1-8B-Instruct,money as speech (Citizens United),0.08,2.724087380157919,0.08,0.04736174687517024,0.032638253124829764,0.032638253124829764,0.027129319932501072,100.0
Llama-3.1-8B-Instruct,money as speech (Citizens United),-0.08,2.724087380157919,0.04,0.02031389846384234,0.01968610153615766,-0.01968610153615766,0.019595917942265423,100.0
Llama-3.1-8B-Instruct,morning person,0.08,2.975183831531434,0.96,0.9941947954122999,-0.03419479541229997,-0.03419479541229997,0.019595917942265433,100.0
Llama-3.1-8B-Instruct,morning person,-0.08,2.975183831531434,0.86,0.9849418040095944,-0.12494180400959443,0.12494180400959443,0.03469870314579494,100.0
Llama-3.1-8B-Instruct,multiculturalism,0.08,2.6963508000674126,0.9,0.9489688213622247,-0.04896882136222469,-0.04896882136222469,0.03,100.0
Llama-3.1-8B-Instruct,multiculturalism,-0.08,2.6963508000674126,0.86,0.8868578845704155,-0.02685788457041549,0.02685788457041549,0.03469870314579494,100.0
Llama-3.1-8B-Instruct,net neutrality,0.08,2.3744337345484783,0.98,0.9794174834029462,0.0005825165970537727,0.0005825165970537727,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,net neutrality,-0.08,2.3744337345484783,0.95,0.9568997712573374,-0.006899771257337428,0.006899771257337428,0.021794494717703377,100.0
Llama-3.1-8B-Instruct,nuclear power essential,0.08,74.99676159517851,1.0,1.0000000000673424,-6.734235391547827e-11,-6.734235391547827e-11,0.001,100.0
Llama-3.1-8B-Instruct,nuclear power essential,-0.08,74.99676159517851,1.0,1.0000000000673424,-6.734235391547827e-11,6.734235391547827e-11,0.001,100.0
Llama-3.1-8B-Instruct,open borders,0.08,3.201988271190901,0.99,0.9952419806332741,-0.005241980633274079,-0.005241980633274079,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,open borders,-0.08,3.201988271190901,0.99,0.9867808330667983,0.003219166933201678,-0.003219166933201678,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,pizza,0.08,0.6985686519155372,0.48,0.46247751212388827,0.017522487876111714,0.017522487876111714,0.049959983987187186,100.0
Llama-3.1-8B-Instruct,pizza,-0.08,0.6985686519155372,0.31,0.407598318702724,-0.09759831870272401,0.09759831870272401,0.04624932431938871,100.0
Llama-3.1-8B-Instruct,pornography acceptable,0.08,10.38159634819905,1.0,1.0000463828105801,-4.638281058011451e-05,-4.638281058011451e-05,0.001,100.0
Llama-3.1-8B-Instruct,pornography acceptable,-0.08,10.38159634819905,1.0,1.0000463771291863,-4.637712918631465e-05,4.637712918631465e-05,0.001,100.0
Llama-3.1-8B-Instruct,privacy over government surveillance,0.08,1.8960153464298188,0.55,0.9106651081806318,-0.3606651081806318,-0.3606651081806318,0.049749371855330994,100.0
Llama-3.1-8B-Instruct,privacy over government surveillance,-0.08,1.8960153464298188,0.48,0.8474323413285973,-0.36743234132859737,0.36743234132859737,0.049959983987187186,100.0
Llama-3.1-8B-Instruct,privacy over national security,0.08,1.6760422359020857,0.73,0.7706535081532274,-0.040653508153227436,-0.040653508153227436,0.044395945760846225,100.0
Llama-3.1-8B-Instruct,privacy over national security,-0.08,1.6760422359020857,0.72,0.6627983838179142,0.057201616182085746,-0.057201616182085746,0.0448998886412873,100.0
Llama-3.1-8B-Instruct,pro-EU,0.08,0.21439032491978827,0.52,0.20455121203444332,0.3154487879655567,0.3154487879655567,0.049959983987187186,100.0
Llama-3.1-8B-Instruct,pro-EU,-0.08,0.21439032491978827,0.53,0.1936104310678498,0.3363895689321502,-0.3363895689321502,0.04990991885387112,100.0
Llama-3.1-8B-Instruct,pro-UN,0.08,0.13432955140709785,1.0,0.9999999999962829,3.717137708747487e-12,3.717137708747487e-12,0.001,100.0
Llama-3.1-8B-Instruct,pro-UN,-0.08,0.13432955140709785,1.0,0.9999999999938801,6.11988237864125e-12,-6.11988237864125e-12,0.001,100.0
Llama-3.1-8B-Instruct,pro-immigration,0.08,0.13432955140709785,1.0,0.9999999999962829,3.717137708747487e-12,3.717137708747487e-12,0.001,100.0
Llama-3.1-8B-Instruct,pro-immigration,-0.08,0.13432955140709785,1.0,0.9999999999938801,6.11988237864125e-12,-6.11988237864125e-12,0.001,100.0
Llama-3.1-8B-Instruct,pro-life,0.08,2.1428992521765666,0.28,0.05929213198045756,0.22070786801954245,0.22070786801954245,0.0448998886412873,100.0
Llama-3.1-8B-Instruct,pro-life,-0.08,2.1428992521765666,0.06,0.03072580093535975,0.02927419906464025,-0.02927419906464025,0.023748684174075833,100.0
Llama-3.1-8B-Instruct,pro-vaccine mandates,0.08,70.21284804078415,1.0,1.000000000069334,-6.93340940216558e-11,-6.93340940216558e-11,0.001,100.0
Llama-3.1-8B-Instruct,pro-vaccine mandates,-0.08,70.21284804078415,1.0,1.000000000069334,-6.93340940216558e-11,6.93340940216558e-11,0.001,100.0
Llama-3.1-8B-Instruct,progressive,0.08,1.7167304790350435,0.99,0.9892267125974723,0.0007732874025276892,0.0007732874025276892,0.009949874371066205,100.0
Llama-3.1-8B-Instruct,progressive,-0.08,1.7167304790350435,0.97,0.9814147645973887,-0.011414764597388771,0.011414764597388771,0.017058722109231986,100.0
Llama-3.1-8B-Instruct,property rights above all,0.08,3.327117300856837,0.38,0.20555571390240057,0.17444428609759943,0.17444428609759943,0.048538644398046386,100.0
Llama-3.1-8B-Instruct,property rights above all,-0.08,3.327117300856837,0.21,0.08186139989404677,0.12813860010595324,-0.12813860010595324,0.0407308237088326,100.0
Llama-3.1-8B-Instruct,public education,0.08,3.280486139138519,0.71,0.7170950464027337,-0.007095046402733729,-0.007095046402733729,0.04537620521815371,100.0
Llama-3.1-8B-Instruct,public education,-0.08,3.280486139138519,0.54,0.4700983254862139,0.06990167451378615,-0.06990167451378615,0.04983974317750845,100.0
Llama-3.1-8B-Instruct,qualified immunity for police,0.08,0.748359788168083,0.49,0.42811815389180974,0.06188184610819025,0.06188184610819025,0.04998999899979995,100.0
Llama-3.1-8B-Instruct,qualified immunity for police,-0.08,0.748359788168083,0.38,0.370752926227285,0.009247073772714998,-0.009247073772714998,0.048538644398046386,100.0
Llama-3.1-8B-Instruct,rehabilitative justice,0.08,2.516345912744988,0.89,0.932566633626549,-0.042566633626549,-0.042566633626549,0.031288975694324025,100.0
Llama-3.1-8B-Instruct,rehabilitative justice,-0.08,2.516345912744988,0.85,0.8606638333474854,-0.01066383334748544,0.01066383334748544,0.035707142142714254,100.0
Llama-3.1-8B-Instruct,religious freedom for businesses,0.08,2.0989863752048867,0.57,0.6512696831940764,-0.08126968319407646,-0.08126968319407646,0.04950757517794625,100.0
Llama-3.1-8B-Instruct,religious freedom for businesses,-0.08,2.0989863752048867,0.49,0.4882495126936612,0.0017504873063388104,-0.0017504873063388104,0.04998999899979995,100.0
Llama-3.1-8B-Instruct,religious schools public funding,0.08,1.5912874285442171,0.55,0.38163554911408826,0.1683644508859118,0.1683644508859118,0.049749371855330994,100.0
Llama-3.1-8B-Instruct,religious schools public funding,-0.08,1.5912874285442171,0.35,0.27053560696997714,0.07946439303002284,-0.07946439303002284,0.047696960070847276,100.0
Llama-3.1-8B-Instruct,remote work future,0.08,2.4336250724947597,0.97,0.9964193691208842,-0.026419369120884273,-0.026419369120884273,0.017058722109231986,100.0
Llama-3.1-8B-Instruct,remote work future,-0.08,2.4336250724947597,0.93,0.992115397764852,-0.062115397764851976,0.062115397764851976,0.02551470164434614,100.0
Llama-3.1-8B-Instruct,renewable energy,0.08,2.209239817165366,1.0,0.9816774866705316,0.018322513329468437,0.018322513329468437,0.001,100.0
Llama-3.1-8B-Instruct,renewable energy,-0.08,2.209239817165366,0.95,0.9634368418618925,-0.013436841861892534,0.013436841861892534,0.021794494717703377,100.0
Llama-3.1-8B-Instruct,reparations for slavery,0.08,0.13432955140709785,1.0,0.9999999999962829,3.717137708747487e-12,3.717137708747487e-12,0.001,100.0
Llama-3.1-8B-Instruct,reparations for slavery,-0.08,0.13432955140709785,1.0,0.9999999999938801,6.11988237864125e-12,-6.11988237864125e-12,0.001,100.0
Llama-3.1-8B-Instruct,right to a job,0.08,0.13432955140709785,1.0,0.9999999999962829,3.717137708747487e-12,3.717137708747487e-12,0.001,100.0
Llama-3.1-8B-Instruct,right to a job,-0.08,0.13432955140709785,1.0,0.9999999999938801,6.11988237864125e-12,-6.11988237864125e-12,0.001,100.0
Llama-3.1-8B-Instruct,right to abortion,0.08,2.082591567462094,0.8,0.7538723112467318,0.046127688753268226,0.046127688753268226,0.04,100.0
Llama-3.1-8B-Instruct,right to abortion,-0.08,2.082591567462094,0.51,0.6113668522348767,-0.10136685223487674,0.10136685223487674,0.04998999899979995,100.0
Llama-3.1-8B-Instruct,right to die (euthanasia),0.08,1.553693134036884,0.96,0.9927007758289282,-0.032700775828928275,-0.032700775828928275,0.019595917942265433,100.0
Llama-3.1-8B-Instruct,right to die (euthanasia),-0.08,1.553693134036884,0.93,0.9879927726822657,-0.05799277268226566,0.05799277268226566,0.02551470164434614,100.0
Llama-3.1-8B-Instruct,right to die,0.08,1.5793020640295687,0.9,0.9884216299546779,-0.08842162995467784,-0.08842162995467784,0.03,100.0
Llama-3.1-8B-Instruct,right to die,-0.08,1.5793020640295687,0.83,0.9808893539574504,-0.1508893539574504,0.1508893539574504,0.037563279941985904,100.0
Llama-3.1-8B-Instruct,right to housing,0.08,8.657636407124318,1.0,0.9999514506929751,4.8549307024914334e-05,4.8549307024914334e-05,0.001,100.0
Llama-3.1-8B-Instruct,right to housing,-0.08,8.657636407124318,1.0,0.9999502085886133,4.9791411386723716e-05,-4.9791411386723716e-05,0.001,100.0
Llama-3.1-8B-Instruct,right to refuse service based on beliefs,0.08,2.044195790275349,0.56,0.5708907824010057,-0.010890782401005605,-0.010890782401005605,0.04963869458396342,100.0
Llama-3.1-8B-Instruct,right to refuse service based on beliefs,-0.08,2.044195790275349,0.45,0.40886711418092414,0.04113288581907587,-0.04113288581907587,0.049749371855331,100.0
Llama-3.1-8B-Instruct,right to unionize gig workers,0.08,4.186769467176746,0.98,0.9949877604899537,-0.014987760489953761,-0.014987760489953761,0.014000000000000005,100.0
Llama-3.1-8B-Instruct,right to unionize gig workers,-0.08,4.186769467176746,0.95,0.9808579203071162,-0.030857920307116204,0.030857920307116204,0.021794494717703377,100.0
Llama-3.1-8B-Instruct,right to unionize,0.08,7.504119620680737,1.0,1.000084603615665,-8.460361566497987e-05,-8.460361566497987e-05,0.001,100.0
Llama-3.1-8B-Instruct,right to unionize,-0.08,7.504119620680737,1.0,1.0000843943509454,-8.439435094542702e-05,8.439435094542702e-05,0.001,100.0
Llama-3.1-8B-Instruct,science-based policy,0.08,61.606629383238,1.0,0.999983193908292,1.6806091707954884e-05,1.6806091707954884e-05,0.001,100.0
Llama-3.1-8B-Instruct,science-based policy,-0.08,61.606629383238,1.0,0.999983193908292,1.6806091707954884e-05,-1.6806091707954884e-05,0.001,100.0
Llama-3.1-8B-Instruct,secularism,0.08,0.13432955140709785,1.0,0.9999999999962829,3.717137708747487e-12,3.717137708747487e-12,0.001,100.0
Llama-3.1-8B-Instruct,secularism,-0.08,0.13432955140709785,1.0,0.9999999999938801,6.11988237864125e-12,-6.11988237864125e-12,0.001,100.0
Llama-3.1-8B-Instruct,smartphone use for kids,0.08,1.4577973299650469,0.96,0.9069052366584632,0.05309476334153673,0.05309476334153673,0.019595917942265433,100.0
